subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.58,1.35,5.33,0.54
rsna-49_vert-2-seg-vert_msk,0.65,1.22,4.12,0.60
rsna-49_vert-3-seg-vert_msk,0.61,1.31,3.74,0.71
rsna-49_vert-4-seg-vert_msk,0.60,1.41,4.00,0.61
rsna-49_vert-5-seg-vert_msk,0.64,1.31,3.16,0.75
rsna-49_vert-6-seg-vert_msk,0.72,0.89,3.00,0.77
rsna-49_vert-7-seg-vert_msk,0.78,0.77,2.24,0.84
rsna-49_vert-8-seg-vert_msk,0.84,0.70,1.73,0.91
rsna-65_vert-1-seg-vert_msk,0.64,1.44,4.58,0.64
rsna-65_vert-3-seg-vert_msk,0.69,1.19,3.61,0.77
rsna-65_vert-4-seg-vert_msk,0.75,0.83,2.24,0.84
rsna-65_vert-5-seg-vert_msk,0.81,0.60,2.00,0.91
rsna-65_vert-6-seg-vert_msk,0.78,0.58,2.45,0.83
rsna-65_vert-7-seg-vert_msk,0.81,0.59,2.24,0.84
rsna-65_vert-8-seg-vert_msk,0.84,0.65,2.00,0.89
rsna-70_vert-1-seg-vert_msk,0.56,1.74,7.35,0.51
rsna-70_vert-2-seg-vert_msk,0.66,1.07,5.58,0.56
rsna-70_vert-3-seg-vert_msk,0.72,0.84,3.46,0.74
rsna-70_vert-4-seg-vert_msk,0.71,0.86,3.61,0.74
rsna-70_vert-5-seg-vert_msk,0.74,0.78,3.28,0.75
rsna-70_vert-6-seg-vert_msk,0.69,0.94,3.74,0.68
rsna-70_vert-7-seg-vert_msk,0.80,0.72,3.16,0.83
rsna-70_vert-8-seg-vert_msk,0.81,0.72,3.00,0.80
rsna-33_vert-1-seg-vert_msk,0.54,2.38,7.28,0.57
rsna-33_vert-2-seg-vert_msk,0.75,0.82,4.47,0.74
rsna-33_vert-3-seg-vert_msk,0.82,0.59,1.41,0.93
rsna-33_vert-4-seg-vert_msk,0.82,0.60,1.41,0.95
rsna-33_vert-7-seg-vert_msk,0.82,0.69,1.73,0.92
rsna-33_vert-8-seg-vert_msk,0.83,0.76,2.24,0.89
rsna-83_vert-1-seg-vert_msk,0.64,1.03,5.00,0.70
rsna-83_vert-2-seg-vert_msk,0.74,0.95,2.45,0.78
rsna-83_vert-3-seg-vert_msk,0.74,0.87,2.24,0.87
rsna-83_vert-4-seg-vert_msk,0.78,0.67,2.00,0.90
rsna-83_vert-5-seg-vert_msk,0.74,0.77,2.24,0.86
rsna-83_vert-6-seg-vert_msk,0.72,0.88,2.24,0.83
rsna-83_vert-7-seg-vert_msk,0.74,0.81,3.00,0.80
rsna-83_vert-8-seg-vert_msk,0.72,0.99,3.00,0.75
rsna-83_vert-9-seg-vert_msk,0.78,0.79,2.24,0.84
rsna-35_vert-1-seg-vert_msk,0.53,1.55,6.48,0.50
rsna-35_vert-2-seg-vert_msk,0.70,1.06,3.74,0.66
rsna-35_vert-3-seg-vert_msk,0.63,1.16,3.00,0.71
rsna-35_vert-4-seg-vert_msk,0.49,1.57,3.46,0.55
rsna-35_vert-5-seg-vert_msk,0.58,1.16,3.61,0.60
rsna-35_vert-6-seg-vert_msk,0.71,0.85,4.12,0.72
rsna-35_vert-7-seg-vert_msk,0.64,1.13,3.16,0.66
rsna-35_vert-8-seg-vert_msk,0.82,0.84,2.00,0.88
rsna-04_vert-1-seg-vert_msk,0.64,1.00,5.10,0.67
rsna-04_vert-2-seg-vert_msk,0.66,1.16,2.83,0.71
rsna-04_vert-3-seg-vert_msk,0.60,1.31,3.00,0.73
rsna-04_vert-4-seg-vert_msk,0.71,0.87,2.24,0.86
rsna-04_vert-5-seg-vert_msk,0.76,0.76,2.24,0.87
rsna-04_vert-6-seg-vert_msk,0.68,1.00,2.24,0.77
rsna-04_vert-7-seg-vert_msk,0.76,0.78,2.44,0.82
rsna-04_vert-8-seg-vert_msk,0.81,0.69,1.41,0.91
rsna-26_vert-1-seg-vert_msk,0.40,2.11,7.14,0.44
rsna-26_vert-12-seg-vert_msk,0.00,12.62,16.90,0.50
