subject-id,DSC,ASD,HD95,NSD
sub-verse138,0.88,0.49,2.00,0.90
sub-verse138,0.88,0.49,2.24,0.89
sub-verse138,0.88,0.61,1.41,0.93
sub-verse138,0.87,0.70,2.00,0.90
sub-verse138,0.86,0.75,2.24,0.84
sub-verse138,0.88,0.65,2.00,0.88
sub-verse138,0.91,0.49,1.41,0.93
sub-verse138,0.85,0.80,2.24,0.82
sub-verse138,0.81,0.98,4.12,0.69
sub-verse058,0.88,0.58,2.00,0.90
sub-verse058,0.85,0.64,3.00,0.84
sub-verse058,0.89,0.50,1.73,0.91
sub-verse058,0.87,0.57,2.00,0.89
sub-verse058,0.87,0.73,2.24,0.89
sub-verse058,0.83,0.86,2.45,0.79
sub-verse152,0.89,0.55,1.73,0.91
sub-verse152,0.87,0.67,1.73,0.92
sub-verse152,0.89,0.56,1.41,0.95
sub-verse152,0.89,0.62,1.73,0.93
sub-verse152,0.85,0.85,2.24,0.85
sub-verse152,0.83,0.91,2.83,0.76
sub-verse068,0.84,0.64,2.24,0.85
sub-verse068,0.85,0.65,2.24,0.85
sub-verse068,0.86,0.61,2.83,0.81
sub-verse068,0.85,0.59,3.16,0.77
sub-verse068,0.72,1.11,4.12,0.58
sub-verse068,0.82,0.70,3.00,0.76
sub-verse068,0.84,0.79,2.24,0.80
sub-verse068,0.87,0.70,2.24,0.86
sub-verse068,0.82,0.78,3.74,0.73
sub-verse409,0.77,0.84,4.24,0.76
sub-verse409,0.70,1.07,4.12,0.62
sub-verse409,0.71,1.30,3.61,0.65
sub-verse409,0.70,1.38,4.00,0.62
sub-verse409,0.70,1.38,4.58,0.63
sub-verse409,0.71,1.35,4.24,0.61
sub-verse409,0.71,1.63,5.10,0.61
sub-verse409,0.67,1.90,6.40,0.53
sub-verse409,0.76,1.33,4.58,0.64
sub-verse409,0.74,1.49,5.48,0.60
sub-verse409,0.73,1.12,6.40,0.52
sub-verse409,0.68,1.12,7.81,0.43
sub-verse409,0.68,1.23,7.21,0.44
sub-verse409,0.60,1.52,6.40,0.34
sub-verse409,0.73,1.04,5.48,0.50
sub-verse409,0.80,0.68,2.24,0.81
sub-verse409,0.81,0.63,3.32,0.82
sub-verse073,0.86,0.71,2.00,0.88
sub-verse073,0.86,0.71,2.00,0.89
sub-verse073,0.86,0.63,2.45,0.85
sub-verse073,0.84,0.76,2.24,0.81
sub-verse073,0.84,0.80,2.45,0.78
sub-verse095,0.84,0.64,1.41,0.94
sub-verse095,0.76,0.86,2.24,0.84
sub-verse095,0.83,0.69,2.00,0.91
sub-verse095,0.80,0.77,2.00,0.89
sub-verse095,0.84,0.65,2.00,0.91
sub-verse095,0.86,0.66,2.00,0.94
sub-verse095,0.86,0.65,2.00,0.91
sub-verse095,0.86,0.65,2.00,0.90
sub-verse095,0.89,0.57,1.41,0.93
sub-verse095,0.87,0.59,2.00,0.89
sub-verse095,0.90,0.49,1.41,0.94
sub-verse095,0.89,0.58,1.41,0.93
sub-verse095,0.89,0.56,1.41,0.93
sub-verse095,0.86,0.72,2.00,0.89
sub-verse095,0.86,0.72,2.24,0.85
sub-verse095,0.78,0.76,2.24,0.82
sub-verse095,0.84,0.62,1.41,0.95
sub-verse410,0.57,1.79,5.23,0.67
sub-verse410,0.80,0.72,2.00,0.87
sub-verse410,0.76,0.79,2.24,0.90
sub-verse410,0.75,0.90,2.24,0.93
sub-verse410,0.74,0.84,2.24,0.93
sub-verse410,0.78,0.74,1.73,0.93
sub-verse410,0.79,0.90,2.83,0.93
sub-verse410,0.85,0.61,1.73,0.96
sub-verse053,0.90,0.49,1.41,0.93
sub-verse053,0.75,0.85,5.10,0.62
sub-verse053,0.74,1.07,6.71,0.54
sub-verse053,0.70,1.17,11.18,0.44
sub-verse053,0.63,1.23,10.63,0.42
sub-verse404,0.87,0.46,1.73,0.92
sub-verse404,0.83,0.59,2.24,0.88
sub-verse404,0.86,0.53,2.00,0.90
sub-verse404,0.86,0.48,2.00,0.89
sub-verse404,0.88,0.46,2.00,0.91
sub-verse404,0.87,0.59,1.41,0.93
sub-verse404,0.88,0.56,1.73,0.91
sub-verse404,0.86,0.69,2.00,0.88
sub-verse404,0.87,0.61,2.00,0.87
sub-verse404,0.89,0.58,1.41,0.94
sub-verse404,0.89,0.54,1.73,0.91
sub-verse404,0.91,0.54,1.41,0.95
sub-verse404,0.89,0.64,1.41,0.92
sub-verse404,0.88,0.65,2.00,0.88
sub-verse404,0.86,0.80,2.24,0.85
sub-verse404,0.81,0.66,2.00,0.89
sub-verse404,0.83,0.67,2.00,0.87
sub-verse404,0.87,0.53,1.41,0.94
sub-verse406,0.57,1.41,4.24,0.61
sub-verse406,0.69,0.97,5.00,0.65
sub-verse406,0.75,0.78,2.24,0.83
sub-verse406,0.76,0.80,2.24,0.86
sub-verse406,0.73,0.94,2.24,0.83
sub-verse406,0.76,0.75,2.27,0.86
sub-verse406,0.77,0.82,2.24,0.85
sub-verse406,0.77,0.81,3.00,0.77
sub-verse406,0.77,0.94,2.83,0.77
sub-verse402,0.85,0.62,2.00,0.89
sub-verse402,0.81,0.81,2.24,0.87
sub-verse402,0.80,0.89,3.05,0.79
sub-verse402,0.82,0.87,3.00,0.85
sub-verse402,0.87,0.62,2.00,0.91
sub-verse402,0.89,0.58,1.73,0.93
