id,gt_or_pred,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse034_vert-20,GT,18.88,112.74,1.85,36.70,49.49,60.92,59.20
sub-verse034_vert-21,PRED,17.42,103.25,30.69,33.30,54.76,62.88,63.73
sub-verse050_vert-15,PRED,64.50,81.71,32.56,26.99,56.04,71.67,58.76
sub-verse050_vert-22,GT,81.21,101.68,5.74,4.13,0.28,0.23,56.84
sub-verse050_vert-24,GT,23.38,34.55,23.52,24.29,20.25,19.91,7.62
sub-verse050_vert-23,PRED,41.08,94.89,50.14,51.85,59.23,48.88,53.08
sub-verse053_vert-23,GT,19.20,135.66,23.24,24.96,24.96,25.09,6.18
sub-verse058_vert-21,GT,63.15,86.10,28.89,29.74,43.11,50.09,36.00
sub-verse073_vert-20,GT,23.08,163.04,17.57,17.26,19.86,15.01,11.20
sub-verse073_vert-20,PRED,23.70,162.04,17.08,17.40,19.68,19.97,10.98
sub-verse073_vert-21,GT,25.29,159.30,16.27,17.37,20.10,21.31,10.37
sub-verse073_vert-21,PRED,25.13,154.64,18.08,17.25,20.35,19.94,11.02
sub-verse073_vert-22,GT,25.93,152.30,17.88,16.63,20.19,16.39,10.27
sub-verse073_vert-22,PRED,25.78,140.71,17.50,16.57,21.79,20.95,10.57
sub-verse073_vert-23,GT,22.54,149.58,18.96,16.19,19.02,20.07,9.61
sub-verse073_vert-23,PRED,19.70,168.00,18.46,18.34,18.13,18.06,10.87
sub-verse073_vert-24,GT,19.55,145.34,17.45,16.89,21.07,20.32,9.68
sub-verse095_vert-11,GT,26.51,65.74,7.16,9.09,13.65,13.26,10.58
sub-verse073_vert-24,PRED,20.31,150.33,18.03,14.16,20.14,17.20,9.55
sub-verse095_vert-10,GT,30.49,121.71,10.94,10.32,13.30,14.06,11.00
sub-verse095_vert-11,PRED,27.28,58.88,9.83,10.89,13.29,11.55,9.78
sub-verse095_vert-10,PRED,25.19,132.35,10.38,10.51,11.41,12.93,10.57
sub-verse095_vert-14,PRED,31.06,62.53,11.54,12.11,15.74,17.97,11.01
sub-verse095_vert-12,GT,28.49,64.48,12.92,13.40,15.72,17.38,10.26
sub-verse095_vert-13,GT,24.93,71.90,11.82,12.86,16.92,14.59,10.00
sub-verse095_vert-15,GT,29.71,122.32,12.91,13.39,19.00,18.24,9.83
sub-verse095_vert-12,PRED,26.88,55.90,11.23,12.63,14.50,12.51,10.47
sub-verse095_vert-14,GT,34.17,67.68,11.44,12.36,17.10,17.94,10.80
sub-verse095_vert-13,PRED,17.68,63.19,12.04,12.35,14.22,15.84,10.88
sub-verse095_vert-15,PRED,28.99,56.71,12.69,13.75,18.12,18.94,10.79
sub-verse095_vert-16,PRED,25.07,133.95,14.01,13.57,17.74,17.24,9.09
sub-verse095_vert-18,GT,20.08,140.75,14.12,17.07,20.49,19.16,10.90
sub-verse095_vert-17,PRED,23.94,130.17,13.30,14.77,20.10,19.84,8.80
sub-verse095_vert-16,GT,26.14,44.16,13.67,14.45,17.15,17.70,10.27
sub-verse095_vert-19,GT,22.36,130.35,16.90,17.77,20.24,21.69,12.51
sub-verse095_vert-17,GT,23.16,129.25,14.94,15.46,18.23,19.32,10.77
sub-verse095_vert-20,PRED,25.64,48.93,15.34,19.45,21.51,20.27,11.16
sub-verse095_vert-19,PRED,22.04,159.60,15.64,18.03,17.92,19.84,11.27
sub-verse095_vert-18,PRED,21.07,135.27,15.82,16.05,21.14,21.00,10.08
sub-verse095_vert-21,PRED,26.16,47.72,14.57,18.78,23.59,21.61,10.80
sub-verse095_vert-22,PRED,24.85,31.48,16.40,16.27,21.49,21.65,11.18
sub-verse095_vert-20,GT,24.87,126.37,18.34,18.48,21.11,21.75,12.45
sub-verse095_vert-22,GT,23.48,36.64,16.89,16.74,21.14,19.44,12.11
sub-verse095_vert-21,GT,25.97,132.81,15.85,17.88,17.79,21.18,12.12
sub-verse095_vert-8,PRED,23.81,40.82,8.57,8.63,9.37,10.52,9.87
sub-verse095_vert-24,PRED,20.65,24.15,19.57,17.29,18.55,15.84,10.80
sub-verse095_vert-23,PRED,23.17,25.57,17.84,17.66,21.43,20.06,10.69
sub-verse095_vert-23,GT,23.51,34.13,17.92,14.26,20.87,20.62,11.01
sub-verse095_vert-24,GT,20.43,30.69,19.08,17.54,16.42,9.08,11.19
sub-verse125_vert-13,PRED,17.66,59.95,9.22,9.83,12.44,13.07,10.28
sub-verse125_vert-14,PRED,20.01,69.13,10.59,11.47,15.10,17.00,11.82
sub-verse125_vert-10,PRED,23.79,42.57,9.84,10.63,10.81,12.86,10.32
sub-verse125_vert-10,GT,23.92,51.96,9.70,10.50,13.01,12.99,9.32
sub-verse095_vert-8,GT,21.77,159.52,12.61,11.46,12.40,12.17,11.35
sub-verse125_vert-12,GT,28.07,66.55,10.08,11.22,14.80,15.44,10.47
sub-verse095_vert-9,PRED,22.84,34.51,9.43,9.03,10.17,11.14,10.25
sub-verse125_vert-13,GT,31.07,77.91,6.70,10.67,19.36,18.12,9.82
sub-verse125_vert-12,PRED,13.73,67.09,11.90,11.99,13.38,13.78,11.09
sub-verse125_vert-11,GT,27.36,61.72,10.79,9.52,13.84,14.65,10.22
sub-verse095_vert-9,GT,24.65,147.09,11.79,10.89,8.22,11.77,10.28
sub-verse125_vert-11,PRED,26.25,46.37,10.90,10.78,12.07,13.08,10.23
sub-verse125_vert-14,GT,30.99,68.61,12.71,12.07,15.61,16.83,10.87
