subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.67,1.02,6.00,0.68
rsna-49_vert-2-seg-vert_msk,0.64,1.33,3.74,0.58
rsna-49_vert-3-seg-vert_msk,0.62,1.39,4.00,0.69
rsna-49_vert-4-seg-vert_msk,0.66,1.09,3.16,0.71
rsna-49_vert-5-seg-vert_msk,0.64,1.15,2.83,0.73
rsna-49_vert-6-seg-vert_msk,0.62,1.14,3.16,0.65
rsna-49_vert-7-seg-vert_msk,0.78,0.77,2.24,0.83
rsna-49_vert-8-seg-vert_msk,0.84,0.72,1.73,0.91
rsna-65_vert-1-seg-vert_msk,0.66,1.02,3.00,0.68
rsna-65_vert-3-seg-vert_msk,0.82,0.62,2.00,0.90
rsna-65_vert-4-seg-vert_msk,0.79,0.61,2.00,0.87
rsna-65_vert-5-seg-vert_msk,0.78,0.67,2.24,0.86
rsna-65_vert-6-seg-vert_msk,0.76,0.76,3.16,0.82
rsna-65_vert-7-seg-vert_msk,0.80,0.72,2.24,0.85
rsna-65_vert-8-seg-vert_msk,0.80,0.86,2.24,0.83
rsna-70_vert-1-seg-vert_msk,0.53,1.63,7.27,0.48
rsna-70_vert-2-seg-vert_msk,0.67,1.08,4.58,0.57
rsna-70_vert-3-seg-vert_msk,0.67,1.04,3.74,0.66
rsna-70_vert-4-seg-vert_msk,0.62,1.15,3.61,0.63
rsna-70_vert-5-seg-vert_msk,0.68,0.95,3.16,0.69
rsna-70_vert-6-seg-vert_msk,0.65,1.07,3.16,0.64
rsna-70_vert-7-seg-vert_msk,0.73,0.87,2.83,0.73
rsna-70_vert-8-seg-vert_msk,0.79,0.76,3.00,0.75
rsna-33_vert-1-seg-vert_msk,0.42,3.67,10.47,0.44
rsna-33_vert-2-seg-vert_msk,0.45,3.96,10.20,0.41
rsna-33_vert-3-seg-vert_msk,0.73,0.96,2.24,0.82
rsna-33_vert-4-seg-vert_msk,0.80,0.67,2.00,0.91
rsna-33_vert-7-seg-vert_msk,0.77,0.89,2.24,0.87
rsna-33_vert-8-seg-vert_msk,0.85,0.64,1.73,0.93
rsna-83_vert-1-seg-vert_msk,0.55,1.59,4.36,0.65
rsna-83_vert-2-seg-vert_msk,0.71,1.01,3.41,0.76
rsna-83_vert-3-seg-vert_msk,0.71,0.91,2.24,0.82
rsna-83_vert-4-seg-vert_msk,0.75,0.73,2.24,0.86
rsna-83_vert-5-seg-vert_msk,0.70,0.95,2.24,0.86
rsna-83_vert-6-seg-vert_msk,0.67,1.09,2.45,0.79
rsna-83_vert-7-seg-vert_msk,0.72,1.04,2.45,0.79
rsna-83_vert-8-seg-vert_msk,0.67,1.22,3.61,0.70
rsna-83_vert-9-seg-vert_msk,0.73,1.05,2.83,0.79
rsna-35_vert-1-seg-vert_msk,0.65,1.07,4.00,0.68
rsna-35_vert-2-seg-vert_msk,0.76,0.86,3.00,0.78
rsna-35_vert-3-seg-vert_msk,0.62,1.14,2.24,0.69
rsna-35_vert-4-seg-vert_msk,0.47,1.56,3.61,0.54
rsna-35_vert-5-seg-vert_msk,0.46,1.58,3.74,0.51
rsna-35_vert-6-seg-vert_msk,0.63,1.27,3.00,0.67
rsna-35_vert-7-seg-vert_msk,0.64,1.49,3.74,0.67
rsna-35_vert-8-seg-vert_msk,0.85,0.63,1.41,0.95
rsna-04_vert-1-seg-vert_msk,0.62,0.98,5.00,0.67
rsna-04_vert-2-seg-vert_msk,0.40,1.58,6.40,0.49
rsna-04_vert-3-seg-vert_msk,0.62,1.15,3.00,0.79
rsna-04_vert-4-seg-vert_msk,0.72,0.74,2.24,0.85
