subject-id,DSC,ASD,HD95,NSD
sub-verse138,0.85,0.63,2.83,0.82
sub-verse138,0.86,0.60,2.24,0.85
sub-verse138,0.85,0.69,2.24,0.84
sub-verse138,0.82,0.86,2.24,0.77
sub-verse138,0.84,0.77,3.32,0.76
sub-verse138,0.88,0.65,2.00,0.88
sub-verse138,0.88,0.65,2.00,0.89
sub-verse138,0.85,0.74,2.83,0.77
sub-verse138,0.81,0.95,4.58,0.64
sub-verse058,0.85,0.77,2.24,0.83
sub-verse058,0.87,0.65,2.24,0.87
sub-verse058,0.87,0.62,2.24,0.87
sub-verse058,0.87,0.58,2.24,0.88
sub-verse058,0.86,0.72,2.02,0.85
sub-verse058,0.86,0.69,2.24,0.83
sub-verse152,0.89,0.55,1.41,0.95
sub-verse152,0.85,0.72,2.00,0.87
sub-verse152,0.87,0.68,2.00,0.89
sub-verse152,0.87,0.66,2.00,0.88
sub-verse152,0.84,0.86,2.24,0.78
sub-verse152,0.81,1.04,3.00,0.73
sub-verse068,0.80,0.74,3.25,0.74
sub-verse068,0.86,0.60,2.45,0.84
sub-verse068,0.82,0.71,3.74,0.73
sub-verse068,0.81,0.77,3.61,0.71
sub-verse068,0.75,1.03,3.00,0.66
sub-verse068,0.81,0.83,2.45,0.76
sub-verse068,0.85,0.76,2.24,0.81
sub-verse068,0.84,0.87,2.24,0.80
sub-verse068,0.82,0.84,3.74,0.73
sub-verse409,0.73,0.93,4.47,0.68
sub-verse409,0.73,1.03,3.74,0.67
sub-verse409,0.72,1.33,3.00,0.67
sub-verse409,0.65,2.09,6.40,0.55
sub-verse409,0.72,1.47,3.74,0.60
sub-verse409,0.70,1.62,5.10,0.60
sub-verse409,0.75,1.21,3.74,0.68
sub-verse409,0.68,1.60,4.47,0.51
sub-verse409,0.73,1.28,4.47,0.60
sub-verse409,0.76,1.21,5.39,0.60
sub-verse409,0.73,1.27,5.00,0.51
sub-verse409,0.65,1.42,7.07,0.40
sub-verse409,0.57,1.36,9.43,0.32
sub-verse409,0.61,1.67,6.16,0.39
sub-verse409,0.74,1.16,5.74,0.53
sub-verse409,0.81,0.73,2.00,0.85
sub-verse409,0.81,0.70,3.00,0.82
sub-verse073,0.83,0.86,2.24,0.82
sub-verse073,0.83,0.92,2.24,0.80
sub-verse073,0.85,0.77,2.24,0.85
sub-verse073,0.85,0.74,2.24,0.83
sub-verse073,0.84,0.84,2.24,0.80
sub-verse095,0.84,0.61,2.24,0.90
sub-verse095,0.73,0.98,3.16,0.74
sub-verse095,0.83,0.59,2.24,0.88
sub-verse095,0.82,0.71,2.00,0.89
sub-verse095,0.85,0.60,1.41,0.93
