id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse073_vert-20,0.060,2.590,0.930,0.180,0.950,5.200,0.160
sub-verse073_vert-21,0.480,8.940,0.660,0.200,3.790,0.190,0.190
sub-verse073_vert-22,2.040,7.220,0.830,0.210,1.870,3.900,0.050
sub-verse073_vert-23,2.320,4.570,1.360,1.050,0.260,0.080,0.960
sub-verse073_vert-24,0.060,0.050,0.180,1.160,1.560,1.100,0.840
sub-verse095_vert-10,7.020,82.530,0.810,1.220,1.180,1.580,0.380
sub-verse095_vert-12,0.680,0.750,2.850,1.800,0.370,0.550,0.820
sub-verse095_vert-13,3.510,9.230,0.650,0.700,2.580,2.500,0.960
sub-verse095_vert-11,0.720,18.740,0.250,0.460,0.030,0.390,0.450
sub-verse095_vert-14,5.700,6.190,1.620,1.190,4.160,1.070,0.000
sub-verse095_vert-15,1.240,63.780,1.130,0.190,2.410,1.230,0.020
sub-verse095_vert-16,0.420,83.300,0.090,0.880,0.240,1.520,0.470
sub-verse095_vert-18,1.800,8.440,1.040,1.090,0.950,1.760,0.710
sub-verse095_vert-17,1.740,3.190,0.480,0.230,0.020,1.470,0.970
sub-verse095_vert-19,0.380,14.310,0.070,0.750,1.320,0.810,1.220
sub-verse095_vert-22,2.020,1.040,1.480,0.490,0.760,1.840,1.410
sub-verse095_vert-20,1.930,21.770,0.710,2.260,0.350,0.110,0.720
sub-verse095_vert-21,1.150,5.060,2.040,0.880,0.480,1.940,1.000
sub-verse095_vert-23,0.430,7.840,0.300,2.830,0.600,1.210,1.190
sub-verse095_vert-24,1.970,8.220,1.370,4.520,3.390,9.560,0.630
sub-verse125_vert-10,0.960,7.370,0.340,0.510,0.150,0.940,0.260
sub-verse125_vert-12,5.340,0.690,0.350,1.030,0.730,0.710,0.550
sub-verse095_vert-8,1.430,11.760,5.370,3.700,2.290,3.560,1.510
sub-verse125_vert-11,9.790,2.870,0.840,1.860,0.840,0.860,0.130
sub-verse095_vert-9,2.140,2.350,1.160,0.320,0.630,2.240,0.060
sub-verse125_vert-14,2.300,1.740,2.130,0.710,1.380,0.920,0.860
sub-verse125_vert-13,6.480,8.760,2.470,2.100,5.090,0.880,1.640
sub-verse125_vert-15,1.380,1.870,0.610,0.750,0.390,0.140,0.590
sub-verse125_vert-16,0.900,7.560,2.740,0.080,0.200,0.250,0.080
sub-verse125_vert-17,1.260,6.000,1.290,0.700,1.810,2.180,0.010
sub-verse125_vert-20,2.580,15.400,0.660,0.400,2.300,1.620,0.310
sub-verse125_vert-18,1.540,9.910,1.450,0.790,1.690,1.940,1.680
sub-verse127_vert-11,1.260,6.590,0.340,0.850,0.630,0.460,0.120
sub-verse125_vert-9,6.460,1.570,0.330,1.510,0.160,0.930,0.170
sub-verse127_vert-10,1.220,12.490,0.980,0.340,1.200,2.880,0.100
sub-verse127_vert-13,3.100,6.810,4.810,1.450,0.070,2.950,0.280
sub-verse125_vert-19,1.940,7.110,1.710,1.910,1.460,1.340,0.100
sub-verse127_vert-12,0.350,6.360,2.240,0.590,1.480,0.260,0.800
sub-verse127_vert-14,10.160,6.980,1.790,0.630,4.590,0.850,1.030
sub-verse127_vert-15,2.550,6.750,1.550,0.870,3.600,0.710,0.080
sub-verse127_vert-16,0.560,70.680,0.280,1.330,2.160,1.520,0.390
sub-verse127_vert-17,2.950,1.160,1.020,0.170,0.120,1.100,1.270
sub-verse127_vert-18,1.350,1.450,1.670,1.490,1.410,0.880,2.050
sub-verse127_vert-22,0.980,10.520,1.020,0.340,1.640,1.580,0.050
sub-verse127_vert-19,0.920,132.830,0.920,0.540,0.290,1.260,2.200
sub-verse127_vert-23,2.000,11.620,0.710,0.210,0.450,1.460,1.110
sub-verse127_vert-20,2.790,5.270,1.210,0.890,1.170,3.780,0.760
sub-verse127_vert-21,0.850,3.740,0.390,0.240,0.170,1.220,0.900
sub-verse127_vert-24,0.820,6.770,2.870,2.070,0.070,0.010,0.000
sub-verse127_vert-8,1.890,16.060,1.410,1.360,0.600,0.490,0.400
sub-verse127_vert-9,0.430,6.070,2.080,1.440,0.780,0.160,0.020
sub-verse134_vert-21,1.380,4.150,2.160,1.500,3.240,0.900,2.080
sub-verse134_vert-20,1.520,17.880,3.070,0.860,5.250,0.790,2.140
sub-verse134_vert-23,0.240,13.710,2.940,2.250,0.620,2.160,0.290
sub-verse134_vert-22,0.160,14.060,0.700,1.990,0.260,1.110,0.750
sub-verse134_vert-24,2.540,106.850,0.160,2.170,0.780,3.240,0.790
sub-verse138_vert-17,1.460,3.270,1.590,1.490,1.340,0.390,0.650
sub-verse138_vert-16,1.830,3.970,0.860,0.280,3.240,3.000,0.990
sub-verse138_vert-18,2.170,98.670,0.360,0.760,1.400,2.820,0.170
sub-verse138_vert-19,2.320,113.890,1.090,1.060,1.390,2.580,0.950
sub-verse138_vert-20,2.630,18.170,1.750,1.080,3.590,3.320,3.590
sub-verse138_vert-21,1.380,106.200,0.310,0.660,9.760,5.500,3.630
sub-verse138_vert-22,0.650,4.140,0.980,1.010,4.650,3.220,1.510
sub-verse152_vert-19,0.370,3.550,0.180,1.230,0.770,1.240,0.130
sub-verse138_vert-23,1.700,0.580,1.380,1.670,0.850,1.930,2.300
sub-verse152_vert-20,0.340,142.230,4.140,0.900,1.990,3.060,1.210
sub-verse152_vert-21,0.410,2.470,0.260,2.080,1.880,1.190,1.310
sub-verse152_vert-22,1.810,114.640,0.760,0.820,0.130,1.120,0.060
sub-verse152_vert-23,0.950,1.200,2.820,0.010,1.230,1.810,0.140
sub-verse152_vert-24,0.500,139.720,3.450,0.870,5.750,0.710,0.160
sub-verse221_vert-1,9.850,79.650,0.980,1.680,8.180,8.940,9.240
sub-verse221_vert-2,2.210,11.030,3.520,2.020,4.960,5.350,0.180
sub-verse221_vert-4,0.900,6.460,1.760,2.640,1.000,3.500,0.710
sub-verse221_vert-3,1.440,0.730,2.100,3.850,2.680,1.570,0.590
sub-verse221_vert-6,0.590,22.480,0.650,1.950,0.940,3.620,0.200
sub-verse221_vert-7,1.740,6.550,2.550,2.720,0.820,0.780,0.180
sub-verse221_vert-9,4.300,12.230,1.660,0.110,1.070,2.880,0.720
sub-verse221_vert-8,0.360,9.980,0.560,1.720,0.810,1.820,0.110
sub-verse402_split-verse251_vert-11,0.480,14.410,0.300,1.170,0.790,0.600,0.360
