subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.71,1.04,5.72,0.74
rsna-49_vert-2-seg-vert_msk,0.65,1.36,3.61,0.64
rsna-49_vert-3-seg-vert_msk,0.65,1.24,3.74,0.78
rsna-49_vert-4-seg-vert_msk,0.74,1.12,2.83,0.84
rsna-49_vert-5-seg-vert_msk,0.71,1.21,3.61,0.84
rsna-49_vert-6-seg-vert_msk,0.73,1.04,2.83,0.79
rsna-49_vert-7-seg-vert_msk,0.84,0.61,1.73,0.93
rsna-49_vert-8-seg-vert_msk,0.84,0.67,1.73,0.92
rsna-65_vert-1-seg-vert_msk,0.68,3.13,22.70,0.71
rsna-65_vert-3-seg-vert_msk,0.79,1.14,4.58,0.92
rsna-65_vert-4-seg-vert_msk,0.80,0.62,1.73,0.90
rsna-65_vert-5-seg-vert_msk,0.77,0.77,2.00,0.87
rsna-65_vert-6-seg-vert_msk,0.82,0.59,1.41,0.93
rsna-65_vert-7-seg-vert_msk,0.86,0.50,1.73,0.94
rsna-65_vert-8-seg-vert_msk,0.87,0.59,1.41,0.94
rsna-70_vert-1-seg-vert_msk,0.51,2.92,7.07,0.54
rsna-70_vert-2-seg-vert_msk,0.71,1.68,6.48,0.67
rsna-70_vert-3-seg-vert_msk,0.71,0.92,3.00,0.74
rsna-70_vert-4-seg-vert_msk,0.70,0.89,3.16,0.74
rsna-70_vert-5-seg-vert_msk,0.73,0.76,2.83,0.77
rsna-70_vert-6-seg-vert_msk,0.72,0.83,2.83,0.77
rsna-70_vert-7-seg-vert_msk,0.81,0.63,2.24,0.85
rsna-70_vert-8-seg-vert_msk,0.83,0.59,2.83,0.85
rsna-33_vert-1-seg-vert_msk,0.40,4.95,16.95,0.45
rsna-33_vert-2-seg-vert_msk,0.76,1.74,4.24,0.80
rsna-33_vert-3-seg-vert_msk,0.77,0.89,2.24,0.89
rsna-33_vert-4-seg-vert_msk,0.84,0.55,1.41,0.97
rsna-33_vert-7-seg-vert_msk,0.85,0.55,1.41,0.94
rsna-33_vert-8-seg-vert_msk,0.83,0.66,2.00,0.89
rsna-83_vert-1-seg-vert_msk,0.62,2.14,5.10,0.75
rsna-83_vert-2-seg-vert_msk,0.79,0.82,2.24,0.88
rsna-83_vert-3-seg-vert_msk,0.75,1.00,3.00,0.89
rsna-83_vert-4-seg-vert_msk,0.77,0.86,2.17,0.91
rsna-83_vert-5-seg-vert_msk,0.76,0.90,2.24,0.91
rsna-83_vert-6-seg-vert_msk,0.74,1.00,3.00,0.88
rsna-83_vert-7-seg-vert_msk,0.73,0.98,2.83,0.82
rsna-83_vert-8-seg-vert_msk,0.73,1.16,3.00,0.78
rsna-83_vert-9-seg-vert_msk,0.77,0.99,3.00,0.88
rsna-35_vert-1-seg-vert_msk,0.68,1.06,5.00,0.72
rsna-35_vert-2-seg-vert_msk,0.81,0.74,2.24,0.87
rsna-35_vert-3-seg-vert_msk,0.60,1.22,2.91,0.69
rsna-35_vert-4-seg-vert_msk,0.50,1.72,4.24,0.62
rsna-35_vert-5-seg-vert_msk,0.51,1.84,5.20,0.61
rsna-35_vert-6-seg-vert_msk,0.69,0.97,2.83,0.74
rsna-35_vert-7-seg-vert_msk,0.66,1.20,3.00,0.67
rsna-35_vert-8-seg-vert_msk,0.84,0.82,2.24,0.94
rsna-04_vert-1-seg-vert_msk,0.58,2.17,7.00,0.82
rsna-04_vert-2-seg-vert_msk,0.61,2.77,17.56,0.71
rsna-04_vert-3-seg-vert_msk,0.65,1.12,2.45,0.80
rsna-04_vert-4-seg-vert_msk,0.78,0.69,1.73,0.94
rsna-04_vert-5-seg-vert_msk,0.81,0.57,1.41,0.94
rsna-04_vert-6-seg-vert_msk,0.75,0.95,2.24,0.87
rsna-04_vert-7-seg-vert_msk,0.74,0.92,2.45,0.80
rsna-04_vert-8-seg-vert_msk,0.81,0.79,1.73,0.91
rsna-26_vert-1-seg-vert_msk,0.43,3.20,17.29,0.48
rsna-26_vert-12-seg-vert_msk,0.00,16.03,29.51,0.00
rsna-26_vert-2-seg-vert_msk,0.84,0.76,1.73,0.93
rsna-26_vert-3-seg-vert_msk,0.82,0.59,1.41,0.97
rsna-26_vert-4-seg-vert_msk,0.79,0.66,1.41,0.96
rsna-26_vert-5-seg-vert_msk,0.80,0.69,1.73,0.97
rsna-26_vert-6-seg-vert_msk,0.74,1.16,4.00,0.93
rsna-26_vert-7-seg-vert_msk,0.81,0.74,1.41,0.93
rsna-26_vert-8-seg-vert_msk,0.87,0.48,1.41,0.97
rsna-26_vert-9-seg-vert_msk,0.85,0.64,1.73,0.97
rsna-80_vert-10-seg-vert_msk,0.75,1.01,2.24,0.77
rsna-80_vert-4-seg-vert_msk,0.64,1.53,3.32,0.74
rsna-80_vert-5-seg-vert_msk,0.65,1.55,5.02,0.81
rsna-80_vert-7-seg-vert_msk,0.69,1.72,6.16,0.78
rsna-80_vert-8-seg-vert_msk,0.79,1.02,2.83,0.84
rsna-80_vert-9-seg-vert_msk,0.82,0.79,2.24,0.88
rsna-02_vert-1-seg-vert_msk,0.17,4.51,11.00,0.32
rsna-02_vert-10-seg-vert_msk,0.51,2.90,9.43,0.44
rsna-02_vert-12-seg-vert_msk,nan,inf,nan,nan
rsna-02_vert-13-seg-vert_msk,0.00,16.08,26.50,0.00
rsna-02_vert-2-seg-vert_msk,0.83,1.30,2.45,0.91
rsna-02_vert-3-seg-vert_msk,0.79,0.84,2.24,0.90
rsna-02_vert-4-seg-vert_msk,0.82,0.64,1.41,0.96
rsna-02_vert-5-seg-vert_msk,0.83,0.60,1.41,0.98
rsna-02_vert-6-seg-vert_msk,0.79,0.69,1.73,0.94
rsna-02_vert-7-seg-vert_msk,0.82,0.70,1.73,0.92
rsna-02_vert-8-seg-vert_msk,nan,inf,nan,nan
rsna-02_vert-9-seg-vert_msk,0.86,0.66,1.73,0.94
rsna-06_vert-1-seg-vert_msk,0.65,2.58,11.82,0.71
rsna-06_vert-2-seg-vert_msk,0.80,1.94,12.08,0.92
