subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.84,0.71,2.24,0.83
sub-verse138_vert-17-seg-vert_msk,0.86,0.59,3.00,0.81
sub-verse138_vert-18-seg-vert_msk,0.85,0.73,2.24,0.81
sub-verse138_vert-19-seg-vert_msk,0.85,0.75,2.24,0.82
sub-verse138_vert-20-seg-vert_msk,0.86,0.65,2.83,0.79
sub-verse138_vert-21-seg-vert_msk,0.87,0.69,2.24,0.87
sub-verse138_vert-22-seg-vert_msk,0.88,0.63,2.24,0.87
sub-verse138_vert-23-seg-vert_msk,0.85,0.78,3.00,0.78
sub-verse138_vert-24-seg-vert_msk,0.80,1.12,4.24,0.65
sub-verse058_vert-19-seg-vert_msk,0.85,0.82,2.24,0.85
sub-verse058_vert-20-seg-vert_msk,0.84,0.81,2.24,0.84
sub-verse058_vert-21-seg-vert_msk,0.86,0.74,2.00,0.87
sub-verse058_vert-22-seg-vert_msk,0.84,0.71,3.00,0.80
sub-verse058_vert-23-seg-vert_msk,0.85,0.75,2.24,0.83
sub-verse058_vert-24-seg-vert_msk,0.82,0.95,2.45,0.74
sub-verse152_vert-19-seg-vert_msk,0.85,0.85,2.00,0.91
sub-verse152_vert-20-seg-vert_msk,0.82,0.90,2.24,0.82
sub-verse152_vert-21-seg-vert_msk,0.85,0.85,2.00,0.88
sub-verse152_vert-22-seg-vert_msk,0.86,0.81,2.00,0.87
sub-verse152_vert-23-seg-vert_msk,0.85,0.93,2.00,0.83
sub-verse152_vert-24-seg-vert_msk,0.80,1.08,2.83,0.69
sub-verse068_vert-16-seg-vert_msk,0.81,0.86,2.45,0.79
sub-verse068_vert-17-seg-vert_msk,0.85,0.72,2.24,0.84
sub-verse068_vert-18-seg-vert_msk,0.85,0.65,2.83,0.80
sub-verse068_vert-19-seg-vert_msk,0.81,0.84,3.46,0.74
sub-verse068_vert-20-seg-vert_msk,0.77,1.05,3.00,0.69
sub-verse068_vert-21-seg-vert_msk,0.81,0.85,2.83,0.75
sub-verse068_vert-22-seg-vert_msk,0.84,0.72,2.83,0.77
sub-verse068_vert-23-seg-vert_msk,0.84,0.83,2.24,0.80
sub-verse068_vert-24-seg-vert_msk,0.83,0.78,3.32,0.77
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.69,1.33,4.47,0.61
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.65,1.80,5.00,0.59
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.70,1.49,4.24,0.67
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.71,1.45,4.12,0.63
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.69,1.58,4.12,0.58
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.73,1.40,3.61,0.63
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.73,1.47,4.58,0.61
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.68,1.68,5.20,0.53
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.70,1.78,5.10,0.55
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.74,1.44,4.36,0.58
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.73,1.26,6.40,0.51
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.67,1.45,6.40,0.43
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.64,1.35,8.19,0.38
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.65,6.63,0.35
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.74,1.25,5.00,0.50
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.77,0.85,2.83,0.75
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.80,0.80,2.45,0.81
sub-verse073_vert-20-seg-vert_msk,0.82,0.88,2.45,0.79
sub-verse073_vert-21-seg-vert_msk,0.81,0.94,3.00,0.73
sub-verse073_vert-22-seg-vert_msk,0.76,1.17,3.74,0.62
sub-verse073_vert-23-seg-vert_msk,0.79,1.13,3.00,0.72
sub-verse073_vert-24-seg-vert_msk,0.81,1.03,3.00,0.74
sub-verse095_vert-10-seg-vert_msk,0.80,0.77,2.24,0.83
sub-verse095_vert-11-seg-vert_msk,0.73,1.10,3.00,0.73
sub-verse095_vert-12-seg-vert_msk,0.80,0.80,2.24,0.84
sub-verse095_vert-13-seg-vert_msk,0.80,0.85,2.00,0.86
sub-verse095_vert-14-seg-vert_msk,0.84,0.73,1.73,0.91
sub-verse095_vert-15-seg-vert_msk,0.82,0.87,2.24,0.87
sub-verse095_vert-16-seg-vert_msk,0.84,0.75,1.83,0.90
sub-verse095_vert-17-seg-vert_msk,0.85,0.72,2.00,0.87
sub-verse095_vert-18-seg-vert_msk,0.87,0.73,2.00,0.89
sub-verse095_vert-19-seg-vert_msk,0.85,0.87,2.00,0.87
sub-verse095_vert-20-seg-vert_msk,0.86,0.77,2.00,0.90
sub-verse095_vert-21-seg-vert_msk,0.85,0.82,2.00,0.88
sub-verse095_vert-22-seg-vert_msk,0.87,0.72,2.00,0.89
sub-verse095_vert-23-seg-vert_msk,0.83,0.93,2.24,0.80
sub-verse095_vert-24-seg-vert_msk,0.83,1.01,2.24,0.76
sub-verse095_vert-8-seg-vert_msk,0.79,0.87,2.24,0.83
sub-verse095_vert-9-seg-vert_msk,0.83,0.71,1.73,0.90
