subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.85,0.69,2.24,0.85
sub-verse138_vert-17-seg-vert_msk,0.86,0.65,2.24,0.85
sub-verse138_vert-18-seg-vert_msk,0.85,0.72,2.24,0.83
sub-verse138_vert-19-seg-vert_msk,0.85,0.80,2.24,0.82
sub-verse138_vert-20-seg-vert_msk,0.86,0.68,2.24,0.84
sub-verse138_vert-21-seg-vert_msk,0.88,0.69,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.89,0.61,2.00,0.90
sub-verse138_vert-23-seg-vert_msk,0.86,0.76,2.83,0.81
sub-verse138_vert-24-seg-vert_msk,0.80,1.01,4.24,0.65
sub-verse058_vert-19-seg-vert_msk,0.85,0.83,2.24,0.87
sub-verse058_vert-20-seg-vert_msk,0.86,0.72,2.00,0.88
sub-verse058_vert-21-seg-vert_msk,0.87,0.63,2.00,0.89
sub-verse058_vert-22-seg-vert_msk,0.86,0.66,2.83,0.83
sub-verse058_vert-23-seg-vert_msk,0.86,0.72,2.24,0.86
sub-verse058_vert-24-seg-vert_msk,0.84,0.82,2.45,0.79
sub-verse152_vert-19-seg-vert_msk,0.87,0.73,1.73,0.93
sub-verse152_vert-20-seg-vert_msk,0.83,0.87,2.24,0.83
sub-verse152_vert-21-seg-vert_msk,0.86,0.79,2.00,0.90
sub-verse152_vert-22-seg-vert_msk,0.86,0.76,2.00,0.88
sub-verse152_vert-23-seg-vert_msk,0.85,0.91,2.00,0.84
sub-verse152_vert-24-seg-vert_msk,0.80,1.05,3.00,0.70
sub-verse068_vert-16-seg-vert_msk,0.82,0.81,2.24,0.83
sub-verse068_vert-17-seg-vert_msk,0.86,0.68,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.84,0.67,2.90,0.79
sub-verse068_vert-19-seg-vert_msk,0.81,0.86,3.16,0.74
sub-verse068_vert-20-seg-vert_msk,0.75,1.15,3.00,0.67
sub-verse068_vert-21-seg-vert_msk,0.83,0.78,2.24,0.79
sub-verse068_vert-22-seg-vert_msk,0.85,0.73,2.24,0.81
sub-verse068_vert-23-seg-vert_msk,0.84,0.87,2.24,0.82
sub-verse068_vert-24-seg-vert_msk,0.83,0.87,3.16,0.75
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.69,1.39,4.24,0.63
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.65,1.70,4.36,0.55
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.70,1.59,4.24,0.66
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.68,1.61,4.12,0.58
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.69,1.59,4.00,0.57
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.70,1.62,4.58,0.58
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.73,1.46,5.00,0.60
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.68,1.69,5.10,0.51
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.72,1.50,4.90,0.54
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.74,1.29,5.00,0.57
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.73,1.34,6.56,0.53
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.69,1.43,5.83,0.46
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.64,1.37,7.81,0.37
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.62,1.66,6.40,0.35
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.74,1.33,5.00,0.51
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.78,0.86,2.45,0.78
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.78,0.91,2.24,0.79
sub-verse073_vert-20-seg-vert_msk,0.83,0.85,2.45,0.80
sub-verse073_vert-21-seg-vert_msk,0.82,0.89,2.83,0.77
sub-verse073_vert-22-seg-vert_msk,0.77,1.14,3.74,0.65
sub-verse073_vert-23-seg-vert_msk,0.80,1.12,3.00,0.72
sub-verse073_vert-24-seg-vert_msk,0.81,1.02,2.83,0.75
sub-verse095_vert-10-seg-vert_msk,0.82,0.71,2.24,0.86
sub-verse095_vert-11-seg-vert_msk,0.73,1.11,2.83,0.74
