id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse006_vert-23,16.750,77.770,18.490,21.200,66.410,40.250,40.520
sub-verse050_vert-16,3.440,16.480,6.420,0.170,1.030,10.500,1.850
sub-verse058_vert-24,4.030,26.180,20.520,16.540,26.830,27.340,34.670
sub-verse073_vert-20,1.700,9.300,0.260,0.760,2.110,5.800,0.680
sub-verse073_vert-21,1.860,6.110,2.320,3.050,1.800,0.350,0.530
sub-verse073_vert-22,2.720,0.300,0.000,0.030,0.040,0.180,1.220
sub-verse073_vert-23,0.270,1.660,0.620,0.990,1.590,1.410,0.730
sub-verse073_vert-24,1.530,6.020,0.580,0.250,1.270,1.740,0.350
sub-verse095_vert-10,3.440,9.880,1.200,1.540,1.090,0.240,2.280
sub-verse095_vert-11,0.590,21.460,3.490,1.060,0.820,3.110,2.370
sub-verse095_vert-13,13.110,11.730,0.920,0.080,3.180,1.510,1.550
sub-verse095_vert-12,0.480,11.420,2.570,1.720,0.520,1.730,1.890
sub-verse095_vert-15,1.290,1.310,3.520,0.960,0.620,0.450,0.460
sub-verse095_vert-14,1.810,6.560,3.800,3.030,2.620,3.420,0.930
sub-verse095_vert-17,2.420,85.510,1.450,1.180,0.750,2.340,1.500
sub-verse095_vert-16,1.590,83.580,2.150,0.910,0.560,0.620,0.460
sub-verse095_vert-18,0.490,3.720,1.020,1.260,0.230,3.060,1.540
sub-verse095_vert-19,1.820,82.070,2.010,1.290,1.710,3.790,1.890
sub-verse095_vert-21,0.580,1.160,4.130,2.040,1.610,0.770,1.070
sub-verse095_vert-20,0.380,3.980,2.910,1.930,1.850,5.170,1.220
sub-verse095_vert-22,2.710,9.040,2.580,1.070,2.280,1.230,1.680
sub-verse095_vert-8,2.210,5.590,0.190,0.650,0.370,1.010,2.530
sub-verse095_vert-23,2.070,16.200,2.100,2.450,1.200,0.460,0.110
sub-verse095_vert-9,1.180,0.280,1.840,1.550,1.990,2.410,1.680
sub-verse095_vert-24,0.770,1.250,1.420,0.420,0.510,5.120,1.920
sub-verse125_vert-10,0.250,14.610,1.400,1.110,0.420,1.310,0.810
sub-verse125_vert-11,2.380,15.040,2.180,2.230,0.190,2.220,0.780
sub-verse125_vert-12,2.740,3.210,2.430,2.070,1.630,1.160,0.410
sub-verse125_vert-13,7.110,21.010,2.930,0.630,5.920,1.600,0.290
sub-verse125_vert-14,11.390,0.460,0.050,1.320,0.150,1.580,1.950
sub-verse125_vert-17,0.680,8.410,0.210,1.270,2.760,3.380,0.040
sub-verse125_vert-15,2.380,3.000,1.780,1.340,0.620,1.260,1.340
sub-verse125_vert-16,2.500,1.490,2.210,0.360,0.620,0.180,1.200
sub-verse125_vert-18,1.120,2.040,4.140,1.560,1.920,4.390,0.170
sub-verse125_vert-19,0.800,15.700,0.340,0.550,1.580,1.330,0.020
sub-verse127_vert-11,0.230,9.050,2.110,1.740,1.030,1.940,1.730
sub-verse125_vert-9,8.880,16.220,0.670,0.110,0.340,1.090,0.650
sub-verse127_vert-10,6.360,42.500,1.080,0.620,6.270,0.750,0.420
sub-verse125_vert-20,0.210,4.010,1.000,1.080,3.850,0.710,0.190
sub-verse127_vert-12,0.390,58.370,1.940,2.020,0.050,0.650,1.150
sub-verse127_vert-15,4.360,50.040,0.580,0.270,2.500,2.580,1.710
sub-verse127_vert-13,0.950,53.890,6.190,2.740,1.730,3.210,1.510
sub-verse127_vert-14,2.010,8.530,3.290,0.440,5.850,1.770,0.310
sub-verse127_vert-16,0.830,11.680,3.040,1.620,0.940,1.700,1.130
sub-verse127_vert-18,2.400,29.250,0.080,1.080,1.350,2.630,2.910
sub-verse127_vert-17,4.090,97.460,4.460,0.670,0.370,0.950,1.470
sub-verse127_vert-19,1.250,6.150,0.700,0.710,1.450,0.830,1.920
sub-verse127_vert-20,2.300,1.960,0.830,0.860,0.100,3.440,1.970
sub-verse127_vert-21,0.510,14.950,1.580,0.270,1.830,0.910,2.420
sub-verse127_vert-24,0.970,2.440,0.740,2.160,0.710,0.170,0.880
sub-verse127_vert-22,0.300,12.130,2.140,0.580,0.880,1.090,1.090
sub-verse127_vert-8,3.560,21.520,0.640,0.620,2.440,1.050,1.140
sub-verse134_vert-20,0.180,6.540,2.740,0.400,0.320,0.050,1.370
sub-verse127_vert-23,1.330,10.380,2.170,0.030,1.760,2.820,1.110
sub-verse134_vert-21,2.190,0.140,0.140,1.640,1.670,1.130,1.610
sub-verse127_vert-9,8.950,14.090,0.530,0.860,2.970,0.390,0.290
sub-verse134_vert-22,2.250,132.120,1.710,2.620,2.650,1.260,1.850
sub-verse134_vert-23,1.120,9.460,3.470,0.390,0.960,1.520,0.930
sub-verse134_vert-24,6.520,30.450,3.670,2.270,3.240,2.670,0.890
sub-verse138_vert-17,1.740,3.090,0.270,1.010,0.770,3.340,0.110
