subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.86,0.58,2.00,0.89
sub-verse138_vert-17-seg-vert_msk,0.87,0.56,2.24,0.88
sub-verse138_vert-18-seg-vert_msk,0.88,0.58,2.00,0.91
sub-verse138_vert-19-seg-vert_msk,0.86,0.68,2.24,0.85
sub-verse138_vert-20-seg-vert_msk,0.88,0.62,2.00,0.89
sub-verse138_vert-21-seg-vert_msk,0.90,0.54,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.89,0.60,2.00,0.89
sub-verse138_vert-23-seg-vert_msk,0.88,0.73,2.00,0.90
sub-verse138_vert-24-seg-vert_msk,0.81,0.96,3.74,0.70
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,2.00,0.91
sub-verse058_vert-20-seg-vert_msk,0.88,0.55,1.73,0.91
sub-verse058_vert-21-seg-vert_msk,0.90,0.47,1.41,0.93
sub-verse058_vert-22-seg-vert_msk,0.87,0.62,1.73,0.91
sub-verse058_vert-23-seg-vert_msk,0.87,0.65,1.73,0.90
sub-verse058_vert-24-seg-vert_msk,0.83,0.81,2.45,0.80
sub-verse152_vert-19-seg-vert_msk,0.90,0.55,1.41,0.96
sub-verse152_vert-20-seg-vert_msk,0.86,0.63,2.00,0.89
sub-verse152_vert-21-seg-vert_msk,0.89,0.53,1.73,0.91
sub-verse152_vert-22-seg-vert_msk,0.86,0.69,2.24,0.86
sub-verse152_vert-23-seg-vert_msk,0.87,0.76,2.00,0.91
sub-verse152_vert-24-seg-vert_msk,0.84,0.88,2.45,0.82
sub-verse068_vert-16-seg-vert_msk,0.83,0.71,2.00,0.87
sub-verse068_vert-17-seg-vert_msk,0.85,0.64,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.85,0.63,3.00,0.82
sub-verse068_vert-19-seg-vert_msk,0.84,0.73,2.24,0.80
sub-verse068_vert-20-seg-vert_msk,0.75,0.98,3.00,0.67
sub-verse068_vert-21-seg-vert_msk,0.82,0.74,2.24,0.80
sub-verse068_vert-22-seg-vert_msk,0.84,0.76,2.24,0.81
sub-verse068_vert-23-seg-vert_msk,0.84,0.82,2.45,0.82
sub-verse068_vert-24-seg-vert_msk,0.81,0.88,3.32,0.71
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.75,1.08,3.32,0.75
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.70,1.24,3.00,0.68
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.69,1.62,4.65,0.69
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.68,1.82,5.10,0.67
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.70,1.66,5.00,0.67
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.66,2.15,6.71,0.62
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.72,1.50,4.47,0.69
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.68,1.78,5.74,0.61
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.69,1.94,6.71,0.58
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.72,1.73,6.00,0.59
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.71,1.81,6.40,0.55
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.63,1.45,8.00,0.46
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.69,1.11,5.83,0.52
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.65,1.43,5.10,0.47
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.73,1.32,6.16,0.53
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.83,0.55,2.00,0.89
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.84,0.61,2.19,0.90
sub-verse073_vert-20-seg-vert_msk,0.88,0.62,1.73,0.91
sub-verse073_vert-21-seg-vert_msk,0.87,0.63,2.00,0.89
sub-verse073_vert-22-seg-vert_msk,0.82,0.90,3.16,0.78
sub-verse073_vert-23-seg-vert_msk,0.83,0.87,2.24,0.81
sub-verse073_vert-24-seg-vert_msk,0.84,0.80,2.24,0.82
sub-verse095_vert-10-seg-vert_msk,0.85,0.50,1.41,0.94
sub-verse095_vert-11-seg-vert_msk,0.77,0.81,2.24,0.83
sub-verse095_vert-12-seg-vert_msk,0.84,0.58,1.41,0.94
sub-verse095_vert-13-seg-vert_msk,0.84,0.61,1.41,0.93
sub-verse095_vert-14-seg-vert_msk,0.87,0.51,1.41,0.94
sub-verse095_vert-15-seg-vert_msk,0.86,0.62,1.73,0.93
sub-verse095_vert-16-seg-vert_msk,0.87,0.60,1.41,0.93
sub-verse095_vert-17-seg-vert_msk,0.89,0.50,1.41,0.95
sub-verse095_vert-18-seg-vert_msk,0.90,0.54,1.41,0.96
sub-verse095_vert-19-seg-vert_msk,0.90,0.52,1.41,0.94
sub-verse095_vert-20-seg-vert_msk,0.90,0.50,1.41,0.93
sub-verse095_vert-21-seg-vert_msk,0.90,0.48,1.41,0.96
sub-verse095_vert-22-seg-vert_msk,0.89,0.54,1.41,0.95
sub-verse095_vert-23-seg-vert_msk,0.86,0.73,2.00,0.89
sub-verse095_vert-24-seg-vert_msk,0.88,0.65,1.73,0.90
sub-verse095_vert-8-seg-vert_msk,0.78,0.74,2.45,0.82
sub-verse095_vert-9-seg-vert_msk,0.84,0.59,1.41,0.93
