subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.66,1.19,7.68,0.67
rsna-49_vert-2-seg-vert_msk,0.63,1.29,4.12,0.58
rsna-49_vert-3-seg-vert_msk,0.66,1.18,3.46,0.74
rsna-49_vert-4-seg-vert_msk,0.69,1.16,3.00,0.76
rsna-49_vert-5-seg-vert_msk,0.69,1.08,2.45,0.79
rsna-49_vert-6-seg-vert_msk,0.73,0.83,3.00,0.80
rsna-49_vert-7-seg-vert_msk,0.82,0.63,2.24,0.90
rsna-49_vert-8-seg-vert_msk,0.83,0.70,1.73,0.90
rsna-65_vert-1-seg-vert_msk,0.68,1.68,5.74,0.72
rsna-65_vert-3-seg-vert_msk,0.76,0.93,2.83,0.84
rsna-65_vert-4-seg-vert_msk,0.75,0.75,2.00,0.85
rsna-65_vert-5-seg-vert_msk,0.77,0.82,2.00,0.87
rsna-65_vert-6-seg-vert_msk,0.82,0.58,1.73,0.91
rsna-65_vert-7-seg-vert_msk,0.84,0.53,2.00,0.90
rsna-65_vert-8-seg-vert_msk,0.85,0.64,2.00,0.90
rsna-70_vert-1-seg-vert_msk,0.49,3.05,8.06,0.51
rsna-70_vert-2-seg-vert_msk,0.65,1.17,6.86,0.54
rsna-70_vert-3-seg-vert_msk,0.69,1.06,4.00,0.70
rsna-70_vert-4-seg-vert_msk,0.68,0.90,4.00,0.67
rsna-70_vert-5-seg-vert_msk,0.70,0.82,3.46,0.70
rsna-70_vert-6-seg-vert_msk,0.65,0.98,3.16,0.66
rsna-70_vert-7-seg-vert_msk,0.79,0.68,3.00,0.81
rsna-70_vert-8-seg-vert_msk,0.76,0.73,4.24,0.72
rsna-33_vert-1-seg-vert_msk,0.47,4.78,22.91,0.52
rsna-33_vert-2-seg-vert_msk,0.78,1.27,3.61,0.84
rsna-33_vert-3-seg-vert_msk,0.79,0.82,2.24,0.91
rsna-33_vert-4-seg-vert_msk,0.81,0.70,1.41,0.94
rsna-33_vert-7-seg-vert_msk,0.84,0.57,1.73,0.92
rsna-33_vert-8-seg-vert_msk,0.86,0.55,1.41,0.94
rsna-83_vert-1-seg-vert_msk,0.62,1.34,3.00,0.74
rsna-83_vert-2-seg-vert_msk,0.76,0.92,2.24,0.83
rsna-83_vert-3-seg-vert_msk,0.74,0.80,2.45,0.85
rsna-83_vert-4-seg-vert_msk,0.77,0.74,2.00,0.90
rsna-83_vert-5-seg-vert_msk,0.74,0.85,2.24,0.87
rsna-83_vert-6-seg-vert_msk,0.76,0.79,2.00,0.91
rsna-83_vert-7-seg-vert_msk,0.76,0.87,2.45,0.83
rsna-83_vert-8-seg-vert_msk,0.77,0.84,2.00,0.86
rsna-83_vert-9-seg-vert_msk,0.76,0.92,2.24,0.84
rsna-35_vert-1-seg-vert_msk,0.59,1.70,6.01,0.60
rsna-35_vert-2-seg-vert_msk,0.77,0.91,2.24,0.80
rsna-35_vert-3-seg-vert_msk,0.56,1.31,3.00,0.67
rsna-35_vert-4-seg-vert_msk,0.44,1.79,4.12,0.55
rsna-35_vert-5-seg-vert_msk,0.50,1.58,4.00,0.56
rsna-35_vert-6-seg-vert_msk,0.66,1.11,3.00,0.70
rsna-35_vert-7-seg-vert_msk,0.65,1.13,3.00,0.67
rsna-35_vert-8-seg-vert_msk,0.83,0.77,2.00,0.91
rsna-04_vert-1-seg-vert_msk,0.65,1.59,5.00,0.83
rsna-04_vert-2-seg-vert_msk,0.61,1.68,3.32,0.65
rsna-04_vert-3-seg-vert_msk,0.66,1.07,2.45,0.82
rsna-04_vert-4-seg-vert_msk,0.76,0.67,2.00,0.89
rsna-04_vert-5-seg-vert_msk,0.78,0.65,1.73,0.92
rsna-04_vert-6-seg-vert_msk,0.67,1.07,2.83,0.76
rsna-04_vert-7-seg-vert_msk,0.69,1.24,3.00,0.77
rsna-04_vert-8-seg-vert_msk,0.76,0.91,2.24,0.83
rsna-26_vert-1-seg-vert_msk,0.38,4.39,20.93,0.57
rsna-26_vert-12-seg-vert_msk,0.00,17.12,29.21,0.00
rsna-26_vert-2-seg-vert_msk,0.85,0.50,1.41,0.94
rsna-26_vert-3-seg-vert_msk,0.79,0.67,1.41,0.96
rsna-26_vert-4-seg-vert_msk,0.75,0.83,2.00,0.94
rsna-26_vert-5-seg-vert_msk,0.78,0.78,2.24,0.96
rsna-26_vert-6-seg-vert_msk,0.76,0.82,2.24,0.94
rsna-26_vert-7-seg-vert_msk,0.78,0.74,2.00,0.91
rsna-26_vert-8-seg-vert_msk,0.86,0.58,1.41,0.96
rsna-26_vert-9-seg-vert_msk,0.82,0.75,2.00,0.94
rsna-80_vert-10-seg-vert_msk,0.72,1.07,2.83,0.76
rsna-80_vert-4-seg-vert_msk,0.53,1.58,4.00,0.59
rsna-80_vert-5-seg-vert_msk,0.62,1.64,5.00,0.73
rsna-80_vert-7-seg-vert_msk,0.69,1.66,5.88,0.77
rsna-80_vert-8-seg-vert_msk,0.76,0.98,2.24,0.78
rsna-80_vert-9-seg-vert_msk,0.77,0.93,2.45,0.78
rsna-02_vert-1-seg-vert_msk,0.16,3.99,9.27,0.32
rsna-02_vert-10-seg-vert_msk,0.39,2.52,10.34,0.40
rsna-02_vert-12-seg-vert_msk,nan,inf,nan,nan
rsna-02_vert-13-seg-vert_msk,0.00,15.65,24.10,0.00
rsna-02_vert-2-seg-vert_msk,0.77,1.06,2.83,0.81
rsna-02_vert-3-seg-vert_msk,0.80,0.71,2.00,0.91
rsna-02_vert-4-seg-vert_msk,0.83,0.57,1.41,0.97
rsna-02_vert-5-seg-vert_msk,0.84,0.56,1.41,0.98
rsna-02_vert-6-seg-vert_msk,0.78,0.73,2.00,0.94
rsna-02_vert-7-seg-vert_msk,0.82,0.68,1.73,0.93
