id,gt_or_pred,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse050_vert-10,GT,63.24,92.79,39.63,24.09,63.95,29.30,58.89
sub-verse050_vert-16,PRED,65.97,93.91,27.43,42.15,60.67,68.13,59.37
sub-verse050_vert-15,GT,68.65,87.23,40.22,41.56,70.32,82.33,57.85
sub-verse050_vert-19,PRED,63.05,87.32,35.46,20.56,55.08,60.05,57.87
sub-verse050_vert-8,PRED,38.43,4.12,69.14,38.76,42.44,32.13,45.73
sub-verse053_vert-21,PRED,62.97,13.14,27.40,26.08,37.24,33.46,44.19
sub-verse053_vert-21,GT,64.46,87.57,52.84,51.70,54.96,65.39,39.30
sub-verse053_vert-24,GT,19.98,119.72,20.97,25.10,15.60,23.11,11.69
sub-verse058_vert-24,PRED,31.23,142.52,20.10,21.91,20.28,21.93,5.04
sub-verse073_vert-20,GT,23.07,162.75,17.56,17.26,20.07,15.01,11.20
sub-verse073_vert-20,PRED,23.30,158.81,16.77,17.29,21.24,20.48,10.99
sub-verse068_vert-19,PRED,63.17,102.79,32.99,29.81,53.02,79.38,48.46
sub-verse073_vert-23,GT,22.55,149.64,18.96,16.20,19.64,20.04,9.61
sub-verse073_vert-21,PRED,25.95,155.81,15.33,15.80,21.16,21.22,10.59
sub-verse073_vert-22,GT,25.95,152.22,17.87,16.64,20.19,16.38,10.29
sub-verse073_vert-21,GT,25.29,160.24,16.27,17.36,18.25,21.31,10.36
sub-verse073_vert-23,PRED,23.55,133.73,16.02,14.85,18.56,19.53,10.82
sub-verse068_vert-23,GT,43.06,166.96,23.45,24.03,29.80,30.04,6.86
sub-verse073_vert-22,PRED,26.54,141.26,17.73,17.06,21.57,21.88,10.61
sub-verse073_vert-24,PRED,16.80,137.46,16.16,17.16,18.67,18.08,10.86
sub-verse095_vert-10,GT,27.93,127.56,12.81,10.71,10.78,12.02,11.26
sub-verse073_vert-24,GT,19.52,145.51,17.46,16.90,21.05,20.30,9.68
sub-verse095_vert-10,PRED,23.62,134.52,11.03,10.83,9.93,13.07,11.36
