subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.87,0.59,2.00,0.89
sub-verse138_vert-17-seg-vert_msk,0.88,0.52,2.24,0.88
sub-verse138_vert-18-seg-vert_msk,0.88,0.57,2.00,0.89
sub-verse138_vert-19-seg-vert_msk,0.88,0.59,2.24,0.86
sub-verse138_vert-20-seg-vert_msk,0.87,0.60,2.45,0.82
sub-verse138_vert-21-seg-vert_msk,0.88,0.61,2.24,0.85
sub-verse138_vert-22-seg-vert_msk,0.89,0.58,2.00,0.90
sub-verse138_vert-23-seg-vert_msk,0.85,0.73,2.83,0.78
sub-verse138_vert-24-seg-vert_msk,0.80,0.98,3.74,0.66
sub-verse058_vert-19-seg-vert_msk,0.86,0.71,2.00,0.88
sub-verse058_vert-20-seg-vert_msk,0.89,0.58,1.41,0.92
sub-verse058_vert-21-seg-vert_msk,0.87,0.58,2.00,0.89
sub-verse058_vert-22-seg-vert_msk,0.86,0.64,2.24,0.84
sub-verse058_vert-23-seg-vert_msk,0.88,0.61,2.00,0.89
sub-verse058_vert-24-seg-vert_msk,0.84,0.73,2.45,0.76
sub-verse152_vert-19-seg-vert_msk,0.89,0.65,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.86,0.69,2.00,0.90
sub-verse152_vert-21-seg-vert_msk,0.90,0.52,1.41,0.95
sub-verse152_vert-22-seg-vert_msk,0.88,0.69,1.73,0.92
sub-verse152_vert-23-seg-vert_msk,0.84,0.93,2.24,0.82
sub-verse152_vert-24-seg-vert_msk,0.83,0.93,2.45,0.77
sub-verse068_vert-16-seg-vert_msk,0.84,0.66,2.24,0.83
sub-verse068_vert-17-seg-vert_msk,0.86,0.63,2.24,0.86
sub-verse068_vert-18-seg-vert_msk,0.86,0.70,2.24,0.85
sub-verse068_vert-19-seg-vert_msk,0.86,0.61,2.24,0.84
sub-verse068_vert-20-seg-vert_msk,0.78,0.96,2.45,0.73
sub-verse068_vert-21-seg-vert_msk,0.84,0.71,2.24,0.82
sub-verse068_vert-22-seg-vert_msk,0.84,0.79,2.45,0.78
sub-verse068_vert-23-seg-vert_msk,0.85,0.71,2.24,0.81
sub-verse068_vert-24-seg-vert_msk,0.84,0.72,4.00,0.76
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.75,0.99,3.46,0.72
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.70,1.36,3.16,0.62
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.73,1.32,3.61,0.67
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.70,1.49,4.12,0.64
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.74,1.33,3.74,0.69
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.73,1.39,4.12,0.67
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.73,1.42,4.54,0.65
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.70,1.41,5.39,0.59
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.70,1.67,5.48,0.55
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.75,1.48,5.83,0.63
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.71,1.27,6.71,0.47
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.68,1.27,6.48,0.44
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.68,1.16,7.07,0.43
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.63,1.40,7.00,0.38
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,1.01,4.58,0.56
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.82,0.73,2.00,0.88
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.82,0.73,2.45,0.85
sub-verse073_vert-20-seg-vert_msk,0.85,0.80,2.24,0.87
sub-verse073_vert-21-seg-vert_msk,0.87,0.69,2.00,0.89
sub-verse073_vert-22-seg-vert_msk,0.79,1.05,3.00,0.69
sub-verse073_vert-23-seg-vert_msk,0.83,0.82,2.24,0.80
sub-verse073_vert-24-seg-vert_msk,0.86,0.73,2.24,0.83
sub-verse095_vert-10-seg-vert_msk,0.84,0.64,1.73,0.90
sub-verse095_vert-11-seg-vert_msk,0.76,0.87,2.45,0.78
sub-verse095_vert-12-seg-vert_msk,0.80,0.79,2.24,0.85
sub-verse095_vert-13-seg-vert_msk,0.80,0.82,2.00,0.86
sub-verse095_vert-14-seg-vert_msk,0.84,0.67,1.41,0.93
sub-verse095_vert-15-seg-vert_msk,0.85,0.68,1.73,0.92
sub-verse095_vert-16-seg-vert_msk,0.84,0.80,2.00,0.90
sub-verse095_vert-17-seg-vert_msk,0.86,0.68,2.00,0.92
sub-verse095_vert-18-seg-vert_msk,0.88,0.67,1.65,0.93
sub-verse095_vert-19-seg-vert_msk,0.89,0.60,1.41,0.92
sub-verse095_vert-20-seg-vert_msk,0.88,0.65,1.41,0.93
sub-verse095_vert-21-seg-vert_msk,0.89,0.55,1.41,0.94
