subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.65,1.34,4.24,0.64
rsna-49_vert-2-seg-vert_msk,0.65,1.55,4.12,0.60
rsna-49_vert-3-seg-vert_msk,0.63,1.47,4.00,0.68
rsna-49_vert-4-seg-vert_msk,0.68,1.17,3.00,0.71
rsna-49_vert-5-seg-vert_msk,0.66,1.18,2.83,0.72
rsna-49_vert-6-seg-vert_msk,0.67,1.19,2.83,0.67
rsna-49_vert-7-seg-vert_msk,0.81,0.74,2.00,0.88
rsna-49_vert-8-seg-vert_msk,0.85,0.69,1.73,0.91
rsna-65_vert-1-seg-vert_msk,0.63,2.15,9.43,0.62
rsna-65_vert-3-seg-vert_msk,0.74,1.09,3.00,0.80
rsna-65_vert-4-seg-vert_msk,0.75,0.90,2.24,0.82
rsna-65_vert-5-seg-vert_msk,0.77,0.82,2.24,0.83
rsna-65_vert-6-seg-vert_msk,0.80,0.73,2.00,0.86
rsna-65_vert-7-seg-vert_msk,0.83,0.66,2.00,0.90
rsna-65_vert-8-seg-vert_msk,0.87,0.58,1.41,0.95
rsna-70_vert-1-seg-vert_msk,0.45,2.72,7.81,0.45
rsna-70_vert-2-seg-vert_msk,0.70,1.35,5.00,0.62
rsna-70_vert-3-seg-vert_msk,0.71,1.09,3.00,0.69
rsna-70_vert-4-seg-vert_msk,0.67,1.15,3.16,0.65
rsna-70_vert-5-seg-vert_msk,0.73,0.94,2.83,0.73
rsna-70_vert-6-seg-vert_msk,0.69,1.15,3.00,0.67
rsna-70_vert-7-seg-vert_msk,0.79,0.78,3.00,0.80
rsna-70_vert-8-seg-vert_msk,0.84,0.64,2.24,0.83
rsna-33_vert-1-seg-vert_msk,0.37,3.70,8.94,0.36
rsna-33_vert-2-seg-vert_msk,0.70,1.35,3.32,0.66
rsna-33_vert-3-seg-vert_msk,0.72,1.19,3.00,0.81
rsna-33_vert-4-seg-vert_msk,0.77,0.88,2.00,0.86
rsna-33_vert-7-seg-vert_msk,0.83,0.70,1.73,0.90
rsna-33_vert-8-seg-vert_msk,0.85,0.65,1.73,0.92
rsna-83_vert-1-seg-vert_msk,0.57,2.01,5.74,0.66
rsna-83_vert-2-seg-vert_msk,0.72,1.14,3.00,0.75
rsna-83_vert-3-seg-vert_msk,0.67,1.29,3.00,0.70
rsna-83_vert-4-seg-vert_msk,0.70,1.09,2.45,0.78
rsna-83_vert-5-seg-vert_msk,0.64,1.59,5.10,0.72
rsna-83_vert-6-seg-vert_msk,0.70,1.10,2.45,0.76
rsna-83_vert-7-seg-vert_msk,0.73,1.12,3.00,0.78
rsna-83_vert-8-seg-vert_msk,0.71,1.33,4.12,0.75
