id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse073_vert-20,1.980,2.980,3.280,0.650,0.140,5.640,0.280
sub-verse073_vert-21,0.390,2.860,1.110,2.000,2.930,0.470,0.010
sub-verse073_vert-22,0.610,2.760,0.100,1.010,0.120,3.580,0.070
sub-verse073_vert-24,1.190,2.740,0.740,0.690,3.610,2.720,0.800
sub-verse073_vert-23,1.210,10.330,2.130,2.720,0.130,0.010,0.470
sub-verse095_vert-10,0.970,6.090,0.650,1.310,0.080,0.880,1.500
sub-verse095_vert-11,1.600,16.830,4.580,0.890,0.180,0.870,1.470
sub-verse095_vert-12,7.600,14.180,2.750,0.390,0.600,0.440,2.400
sub-verse095_vert-13,13.360,6.580,0.540,0.550,2.310,3.150,0.000
sub-verse095_vert-14,1.080,3.310,3.170,2.000,1.930,0.250,0.040
sub-verse095_vert-15,1.590,64.700,2.450,1.050,0.430,0.440,0.980
sub-verse095_vert-16,3.130,4.060,2.620,0.860,2.590,0.770,1.090
sub-verse095_vert-17,0.510,85.900,0.050,0.740,2.300,0.720,0.860
sub-verse095_vert-19,1.200,14.480,0.370,0.150,1.270,1.850,1.690
sub-verse095_vert-18,2.630,5.940,1.360,1.280,1.290,0.980,1.300
sub-verse095_vert-21,0.960,8.570,2.150,1.100,0.220,0.920,1.230
sub-verse095_vert-20,0.170,81.850,1.210,1.090,0.190,0.930,1.030
sub-verse095_vert-22,2.220,6.060,2.050,0.880,1.190,1.080,1.130
sub-verse095_vert-23,2.410,11.750,0.940,1.340,2.990,3.110,0.330
sub-verse095_vert-24,1.110,11.380,0.840,0.730,3.050,2.530,0.900
sub-verse125_vert-12,3.310,3.890,1.110,0.730,0.810,0.810,0.710
sub-verse095_vert-8,2.420,4.110,0.910,0.690,2.240,1.010,2.440
sub-verse125_vert-10,0.930,8.080,1.710,0.510,0.560,0.000,0.640
sub-verse095_vert-9,0.230,3.600,0.160,0.300,0.120,0.550,1.290
sub-verse125_vert-13,10.240,7.950,3.530,0.880,4.610,2.210,0.020
sub-verse125_vert-11,1.190,12.950,0.120,1.980,2.610,0.860,0.590
sub-verse125_vert-14,2.860,2.670,0.320,0.240,0.570,0.360,0.840
sub-verse125_vert-15,0.390,3.960,0.980,0.340,0.590,1.760,0.400
sub-verse125_vert-16,1.490,2.610,2.070,1.250,0.970,0.190,0.090
sub-verse125_vert-17,1.320,1.140,1.210,0.940,1.660,0.560,0.910
sub-verse127_vert-10,0.580,2.220,0.510,0.210,0.860,0.440,1.690
sub-verse125_vert-19,0.010,0.780,1.440,0.220,0.130,1.010,0.050
sub-verse125_vert-18,2.090,6.910,1.200,0.920,0.400,0.440,1.130
sub-verse127_vert-12,0.840,0.330,2.160,2.510,1.500,0.460,0.530
sub-verse125_vert-20,0.240,3.450,1.240,1.800,1.820,0.450,0.480
sub-verse125_vert-9,0.610,2.000,1.420,0.520,0.050,0.760,0.410
sub-verse127_vert-11,3.500,4.300,2.380,0.980,1.380,1.460,2.020
sub-verse127_vert-13,0.500,1.360,4.600,2.440,0.980,1.360,1.250
sub-verse127_vert-14,2.380,2.010,2.730,0.240,5.470,1.630,0.030
sub-verse127_vert-15,0.910,6.590,1.830,0.100,3.150,2.430,0.710
sub-verse127_vert-16,0.670,60.350,0.600,0.230,1.260,0.500,0.010
sub-verse127_vert-19,0.840,0.050,0.270,0.320,2.300,0.080,1.440
sub-verse127_vert-17,3.340,101.190,1.470,0.970,0.150,0.140,1.700
sub-verse127_vert-20,2.650,1.420,1.140,3.050,0.120,1.080,0.610
sub-verse127_vert-21,1.150,8.000,1.420,0.950,1.210,1.350,1.400
sub-verse127_vert-18,1.810,7.250,0.300,0.900,0.210,1.470,2.230
sub-verse127_vert-22,1.450,5.310,1.620,0.700,2.190,0.280,0.760
sub-verse127_vert-23,0.850,3.160,1.210,0.240,0.520,1.820,1.040
sub-verse127_vert-8,2.610,26.930,0.210,0.380,3.470,0.250,1.400
sub-verse134_vert-20,0.830,3.740,4.410,0.130,0.700,2.200,0.850
sub-verse127_vert-24,1.800,7.310,0.760,2.320,0.920,0.370,0.020
sub-verse127_vert-9,1.940,42.210,2.310,1.650,5.990,3.500,0.460
sub-verse134_vert-21,1.220,5.270,2.410,1.230,1.520,2.850,1.140
sub-verse134_vert-24,0.710,5.550,2.250,0.090,4.040,5.690,0.810
sub-verse134_vert-23,1.970,21.310,1.710,3.000,1.990,0.250,0.800
sub-verse134_vert-22,1.790,2.100,1.150,1.830,2.050,1.400,1.230
sub-verse138_vert-16,0.580,74.570,1.260,1.590,0.940,1.980,1.000
sub-verse138_vert-17,1.360,1.390,0.150,0.150,1.330,0.270,0.020
sub-verse138_vert-19,0.950,119.100,0.160,0.900,0.250,4.950,0.280
sub-verse138_vert-18,1.410,97.950,2.390,0.030,2.160,2.810,0.600
sub-verse138_vert-20,0.700,108.720,1.100,0.680,0.150,0.680,2.850
sub-verse138_vert-21,0.150,6.620,0.070,0.870,5.260,2.660,2.760
sub-verse138_vert-22,1.370,6.380,1.030,0.480,2.240,2.170,0.130
